!	!	0.042843
!	A	0.016531
!	C	0.001494
!	D	0.011033
!	N	0.608954
!	P	0.032542
!	V	0.094975
!	r	0.077496
!	t	0.002432
!	v	0.111406
A	A	0.029220
A	C	0.002831
A	D	0.005699
A	N	0.793346
A	P	0.047786
A	V	0.031227
A	r	0.016547
A	t	0.001316
A	v	0.070797
C	A	0.024557
C	C	0.002407
C	D	0.023680
C	N	0.497356
C	P	0.045255
C	V	0.080267
C	r	0.153794
C	t	0.003522
C	v	0.168107
D	A	0.037927
D	D	0.009248
D	N	0.730228
D	P	0.022215
D	V	0.080694
D	r	0.023032
D	t	0.017797
D	v	0.076421
N	!	0.001143
N	A	0.017768
N	C	0.001719
N	D	0.011515
N	N	0.675128
N	P	0.068154
N	V	0.107847
N	r	0.028252
N	t	0.002998
N	v	0.084634
P	!	0.001554
P	A	0.019046
P	D	0.041169
P	N	0.602777
P	P	0.030616
P	V	0.057600
P	r	0.045458
P	t	0.008781
P	v	0.192300
V	A	0.023364
V	C	0.002089
V	D	0.050343
V	N	0.575928
V	P	0.077191
V	V	0.040452
V	r	0.032171
V	t	0.001795
V	v	0.195747
h	A	0.026077
h	D	0.006526
h	N	0.735889
h	P	0.062150
h	V	0.067791
h	r	0.023149
h	t	0.003799
h	v	0.072477
i	!	0.001034
i	A	0.031986
i	C	0.003926
i	D	0.008399
i	N	0.488128
i	P	0.207202
i	V	0.023042
i	i	0.002032
i	r	0.019911
i	t	0.001427
i	v	0.212884
r	!	0.001373
r	A	0.026350
r	C	0.003023
r	D	0.008068
r	N	0.601385
r	P	0.031280
r	V	0.175465
r	i	0.001006
r	r	0.047407
r	t	0.005555
r	v	0.099066
t	A	0.016961
t	C	0.001926
t	D	0.092459
t	N	0.504339
t	P	0.051334
t	V	0.017854
t	r	0.051663
t	t	0.002359
t	v	0.260612
v	A	0.132650
v	C	0.003621
v	D	0.006826
v	N	0.487226
v	P	0.044581
v	V	0.171520
v	i	0.001738
v	r	0.031820
v	t	0.023670
v	v	0.095441
